Fact: Female cats are polyestrous | Length: 28
Fact: A cat lover is called an Ailurophile (Greek: cat+lover). | Length: 56
Fact: The first cartoon cat was Felix the Cat in 1919. In 1940, Tom and Jerry starred in the first theatrical cartoon “Puss Gets the Boot.” In 1981 Andrew Lloyd Weber created the musical Cats, based on T.S. Eliot’s Old Possum’s Book of Practical Cats. | Length: 245
Fact: Cats have been domesticated for half as long as dogs have been. | Length: 63
Fact: Unlike humans, cats are usually lefties. Studies indicate that their left paw is typically their dominant paw. | Length: 110
Fact:  A cat only has the ability to move their jaw up and down, not side to side like a human can. | Length: 93
Fact: The term “puss” is the root of the principal word for “cat” in the Romanian term pisica and the root of secondary words in Lithuanian (puz) and Low German puus. Some scholars suggest that “puss” could be imitative of the hissing sound used to get a cat’s attention. As a slang word for the female pudenda, it could be associated with the connotation of a cat being soft, warm, and fuzzy. | Length: 387
Fact: Edward Lear, author of \The Owl and the Pussycat\"", is said to have had his new house in San Remo built to exactly the same specification as his previous residence, so that his much-loved tabby, Foss, would immediately feel at home.""" | Length: 236
Fact: Abraham Lincoln loved cats. He had four of them while he lived in the White House. | Length: 82
Fact: Today there are about 100 distinct breeds of the domestic cat. | Length: 62
Fact: The cat appears to be the only domestic companion animal not mentioned in the Bible. | Length: 84
Fact: The average lifespan of an outdoor-only (feral and non-feral) is about 3 years; an indoor-only cat can live 16 years and longer. Some cats have been documented to have a longevity of 34 years. | Length: 192
